X,Y,NAME,ADDRESS,ZIP,PHONE,TYPE,BATTALION,WARD,HISTORY_DESCRIPTION,NEAREST_BUS_STOP,NEAREST_METRO,LATITUDE,LONGITUDE,XCOORD,YCOORD,MAR_ID,GIS_ID,GLOBALID,OBJECTID,SE_ANNO_CAD_DATA,CREATED_DATE,LAST_EDITED_DATE
-8573582.81534276,4704899.05053341,Engine Company 13,501 4TH STREET SW,20024,(202) 673-3213,Engine House 13,6,6,"Organized: November 26, 1904.

Original apparatus: 1904 American LaFrance 70 gallon Combination Chemical Hose Wagon 1904 American LaFrance Metropolitan 700 gpm steam fire engine.

1st Location: 942 G Street SW.

2nd Location: New firehouse 450 6th Street SW with Truck Co.10 and the Foam Unit.

Current apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 13
Ambulance 13
Truck Company 10
Foam Unit 1
Foam Unit 2
Twinned Agent Unit 1
Foam Unit Trailer",70 71,L'Enfant Plaza,38.882793,-77.017572,398441.4,135024.88,311526,Fire_023,{94E9C818-92E2-4A28-87C5-E5731A298179},1,,,2024/12/04 22:10:00+00
-8572524.29025389,4714350.86995632,Engine Company 14,4801 NORTH CAPITOL STREET NE,20011,(202) 673-3214,Engine House 14,1,5,"Organized: June 8, 1898.

Original apparatus: Unknown make Hose Reel Carriage 1891 Clapp & Jones 1000 gpm steam fire engine.

1st Location: 413 8th Street NW.

2nd Location: New firehouse 4801 North Capitol Street NE with Rescue Squad No, 2 on June 14, 1945.

Current apparatus: 2003 Seagrave 1250 gpm pumper.

Engine 14
Ambulance 14
Medic Unit 14 ",60 64,Fort Totten,38.94886631,-77.00829364,399281.07,142329.91,288276,Fire_002,{81BA98DD-8623-4CCC-8368-D6376A02D9A7},2,,,
-8570050.68110337,4702334.26510961,Engine Company 15,2101 14TH STREET SE,20020,(202) 673-3215,Engine House 15,3,8,"Organized: April 15, 1898.

Original apparatus: Unknown make Hose Reel Carriage 1883 Clapp & Jones 450 gpm steam fire engine.

1st Location: 1345 V St. S.E. 2nd Location: New firehouse 2101 14th Street SE (same site) on December 7, 1968.

Current apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 15
Battalion Fire Chief 3
EMS 3
Ambulance 15
Rescue Squad 3
Cave-In Unit
CISU
CSU-3
Rescue Squad 3 Support Unit",U2,Anacostia,38.86481438,-76.9860209,401208.69,133005.19,156246,Fire_031,{50E73988-93A6-4937-BF1F-335210C8D57E},3,,,
-8574942.36988595,4707832.2171323,Engine Company 16,1018 13TH STREET NW,20005,(202) 673-3216,Engine House 16,6,2,"Organized: October 24, 1904. Replaced 1st Chemical Co. 1.

Original apparatus: Unknown make Hose Reel Carriage 1886 Amoskeag 700 gpm steam fire engine.

1st Location: 1204 D Street NW in Chemical 1 firehouse (originally Franklin Fire Company then Engine Co. 2).

2nd Location: New firehouse 15th & D Streets NW.

3rd Location: With Truck Co. 3 and Water Tower No. 1 at 14th & Ohio Ave. NW on June 30, 1931.

4th Location: New firehouse 1018 13th Street NW with Truck Co. 3 and Water Tower 1.

Current apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 16
Tower 3
Ambulance 16
Deputy Fire Chief of Operations
EMS 8
",66 68,McPherson Square,38.90331067,-77.03001561,397396.45,137273.24,240645,Fire_024,{0AA98376-D7BF-4603-A082-98FE2859510D},4,,,
-8570479.85871469,4711983.63066156,Engine Company 17,1227 MONROE STREET NE,20017,(202) 673-3217,Engine House 17,1,5,"Organized: April 22, 1905 Replaced Chemical Co. 4.

Original Apparatus: 1901 C.T. Holloway 70 gallon Combination Chemical Hose Wagon 1904 American LaFrance Metropolitan 500 gpm steam fire engine.

1st Location: 1227 Monroe Street NE in Chemical 4 firehouse.

Current Apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 17
Medic Unit 17",G8,Brookland-CUA,38.93237829,-76.98990641,400873.27,140493.83,294510,Fire_008,{FB9D10BE-A87C-4DC2-B34C-E352C8C58C3B},5,,,
-8575281.55693195,4711972.22040764,Engine Company 11,3420 14TH STREET NW,20010,(202) 673-3211,Engine House 11,4,1,"Organized: July 1, 1897 Replaced 1st Chemical Co. 2.

Original apparatus: 1886 McDermott Hose Reel Carriage 1885 Clapp & Jones 450 gpm steam fire engine.

1st Location: 3119 14th Street NW in Chemical 2 firehouse.

2nd Location: With Truck Co. 6 at 1338 Park Rd. NW on June 4, 1940.

3rd Location: New firehouse 3420 14th Street NW with Truck 6 and Battalion Chief 4 on June 5, 1984.

Current apparatus: 2005 Seagrave 1250 gpm pumper.

Engine 11
Battalion Fire Chief 4
EMS 4
Ambulance 11
Truck Company 6
WS-54",52-54,Columbia Heights,38.93224649,-77.03306259,397133.32,140485.45,234580,Fire_012,{FA3B4517-46DA-4719-9C6C-4F7F8253595F},6,,,
-8571004.02126132,4704964.34308055,Engine Company 18,414 8TH STREET SE,20003,(202) 673-3218,Engine House 18,2,6,"Organized: November 18, 1905.

Original apparatus: 1898 McDermott Hose Reel Carriage 1905 American LaFrance Metropolitan 600 gpm steam fire engine.

1st Location: 1001 9th Street SE.

2nd Location: With Truck Co. 7 at 414 8th Street SE on June 30, 1940.

Current apparatus: 2008 Seagrave 1250 gpm pumper.

Engine 18
Ambulance 18
Truck Company 7",90 92 93,Eastern Market,38.88325925,-76.99463684,400465.33,135046.96,280007,Fire_020,{A0D20D93-9F1A-4F86-9A2E-940B34125CF4},7,,,
-8567926.08617592,4703296.57374859,Engine Company 19,2813 PENNSYLVANIA AVENUE SE,20003,(202) 673-3219,Engine House 19,3,7,"(1st) Fire Boat.

1905 - 1920.

Organized: December 9, 1905.

Original Apparatus: 1905 Harlan & Hollingsworth 6000 gpm steam powered 6000 gpm fireboat.

1st Location: Water Street near 7th Street SW.

Renamed Fire Boat 1 in 1920.

Engine 19
Ambulance 19
Medic Unit 19",M6,Stadium-Armory,38.87159604,-76.96698729,402864.79,133752.76,44167,Fire_005,{48AD5308-6201-48B6-B760-DEE507A5B170},8,,,
-8580331.03822399,4713793.68767541,Engine Company 20,4300 WISCONSIN AVENUE NW,20037,(202) 673-3220,Engine House 20,5,3,"Organized: January 23, 1907 Replaced 1st Chemical 3.

Original Apparatus: 1907 Seagrave 70 gallon Combination Chemical Hose Wagon. 1906 American LaFrance Metropolitan 500 gpm steam fire engine.

Location: 4300 Wisconsin Ave. NW in Chemical 3 firehouse.

Current Apparatus: 2003 Pierce 1250 gpm pumper.

Engine 20
Battalion Fire Chief 5
EMS 5
Ambulance 20
Truck Company 12",H2 H3 H4,Tenleytown | AU,38.94497358,-77.07842283,393201.59,141900.67,222965,Fire_016,{6127D949-5D77-46E1-9192-32F4DB64FD31},9,,,
-8576300.4499107,4710902.52133692,Engine Company 21,1763 LANIER PLACE NW,20009,(202) 673-3221,Engine House 21,5,1,"Organized: December 28, 1908.

Original Apparatus: 1908 American LaFrance 70 gallon Combination Chemical Hose Wagon. 1907 American LaFrance Metropolitan 700 gpm steam fire engine.

Location: 1763 Lanier Pl. NW.

Current Apparatus: 2006 Seagrave 1250 gpm pumper.

Engine 21
Medic Unit 21
WS-E-55",H5,Woodley Park-Zoo/Adams Morgan,38.92477115,-77.04221546,396339.34,139655.95,236004,Fire_013,{23D44C65-9A5A-4D43-B483-CC560AA82D7B},10,,,
